category,pub_name,pub_link,author,launch_date,num_subs,sub_rate,top_paid
Sports,"AZ Coyotes Insider, LLC",https://azcoyotesinsider.substack.com/?utm_source=discover,Craig Morgan,a year ago,Thousands of subscribers,$5/month,True
Sports,Hoop Vision,https://hoopvision.substack.com/?utm_source=discover,Jordan Sperber,2 years ago,Hundreds of subscribers,$10/month,True
Sports,Go Long with Tyler Dunne,https://www.golongtd.com/?utm_source=discover,,6 months ago,Hundreds of subscribers,$7/month,True
Sports,Knicks Film School,https://knicksfilmschool.substack.com/?utm_source=discover,,2 years ago,Thousands of subscribers,$5/month,True
Sports,Good Morning It's Basketball,https://ziller.substack.com/?utm_source=discover,Tom Ziller,a year ago,Thousands of subscribers,$5/month,True
Sports,Purple Insider,https://purpleinsider.substack.com/?utm_source=discover,Matthew Coller,a year ago,Hundreds of subscribers,$7/month,True
Sports,The Auburn Observer,https://www.auburnobserver.com/?utm_source=discover,,9 months ago,Hundreds of subscribers,$6/month,True
Sports,Grace on Football,https://onfootball.substack.com/?utm_source=discover,Grace Robertson,a year ago,Hundreds of subscribers,£5/month,True
Sports,No Grass in the Clouds,https://nograssintheclouds.substack.com/?utm_source=discover,Ryan O'Hanlon,2 years ago,Hundreds of subscribers,$7/month,True
Sports,The Quadrilateral,https://quadrilateral.substack.com/?utm_source=discover,Geoff Shackelford,6 months ago,Hundreds of subscribers,$5/month,True
Sports,The Next: 24/7/365 women's basketball coverage,https://thenext.substack.com/?utm_source=discover,,a year ago,Hundreds of subscribers,$9/month,True
Sports,THE BATFLIP,https://stoeten.substack.com/?utm_source=discover,Andrew Stoeten,7 months ago,Hundreds of subscribers,CA$6.50/month,True
Sports,MatchQuarters,https://matchquarters.substack.com/?utm_source=discover,Cody Alexander,a year ago,Hundreds of subscribers,$5/month,True
Sports,Scott Bell's newsletter,https://scottbell.substack.com/?utm_source=discover,,a year ago,Hundreds of subscribers,$6.99/month,True
Sports,Stealing Signals,https://bengretch.substack.com/?utm_source=discover,Ben Gretch,8 months ago,Hundreds of subscribers,$5/month,True
Sports,Trench Warfare,https://trenchwarfare.substack.com/?utm_source=discover,Brandon Thorn,7 months ago,Hundreds of subscribers,$8/month,True
Sports,The Second Arrangement,https://tsa.substack.com/?utm_source=discover,Kelly Dwyer,4 years ago,Hundreds of subscribers,$5/month,True
Sports,The Pick and Roll,https://pickandroll.com.au/?utm_source=discover,,a year ago,Hundreds of subscribers,A$10/month,True
Sports,Blue Ribbon Report,https://blueribbon.substack.com/?utm_source=discover,Chris Dortch,10 months ago,Hundreds of subscribers,$7.99/month,True
Sports,derailleur,https://derailleur.substack.com/?utm_source=discover,,4 months ago,Hundreds of subscribers,$6/month,True
Sports,The Hockey Tactics Newsletter,https://jhanhky.substack.com/?utm_source=discover,Jack Han,a year ago,,$20/month,True
Sports,Let’s Go Warriors,https://www.letsgowarriors.com/?utm_source=discover,,a year ago,Hundreds of subscribers,$5/month,True
Faith,Tipping Point Prophecy Update by Jimmy Evans,https://endtimes.substack.com/?utm_source=discover,,2 years ago,Thousands of subscribers,$7/month,True
Faith,The Corners by Nadia Bolz-Weber,https://thecorners.substack.com/?utm_source=discover,,a year ago,Thousands of subscribers,$5/month,True
Faith,The Pillar,https://www.pillarcatholic.com/?utm_source=discover,,6 months ago,Thousands of subscribers,$5/month,True
Faith,Sarah Bessey's Field Notes,https://sarahbessey.substack.com/?utm_source=discover,,2 years ago,Thousands of subscribers,CA$5/month,True
Faith,Daily Dreher,https://roddreher.substack.com/?utm_source=discover,Rod Dreher,7 months ago,Thousands of subscribers,$5/month,True
Faith,The Abbey of Misrule,https://paulkingsnorth.substack.com/?utm_source=discover,Paul Kingsnorth,5 months ago,Thousands of subscribers,€5/month,True
Faith,The Commonplace,https://thecommon.place/?utm_source=discover,Tsh Oxenreider,2 years ago,Hundreds of subscribers,$6/month,True
Faith,SOAR with Sara Hagerty,https://sarahagerty.substack.com/?utm_source=discover,,8 months ago,Hundreds of subscribers,$7/month,True
Faith,Lore Ferguson Wilbert,https://lorefergusonwilbert.substack.com/?utm_source=discover,Lore Wilbert,3 months ago,Hundreds of subscribers,$5/month,True
Faith,The Glenn Meder Newsletter,https://glenn.substack.com/?utm_source=discover,Glenn Meder,2 years ago,Hundreds of subscribers,$10/month,True
Faith,Chosen By Choice,https://chosenbychoice.substack.com/?utm_source=discover,Nellie Bowles,5 months ago,Hundreds of subscribers,$5.40/month,True
Faith,Come Aside,https://saramaynard.substack.com/?utm_source=discover,Sara Maynard,,Hundreds of subscribers,CA$6/month,True
Faith,The Cholent,https://thecholent.substack.com/?utm_source=discover,Emily Alhadeff,6 months ago,,$5/month,True
Faith,Reimagining Belonging by Julie Rodgers,https://julierodgers.substack.com/?utm_source=discover,,,,$5/month,True
Faith,For what it's worth,https://ursulajarand.substack.com/?utm_source=discover,Ursula Jarand,,,$5/month,True
Faith,NOW IS GOOD,https://nowisgood.substack.com/?utm_source=discover,James Francis,3 months ago,,$5.55/month,True
Faith,Crackers & Grape Juice +,https://crackersnjuice.substack.com/?utm_source=discover,,,,$5/month,True
Faith,Further Up with Timothy Willard,https://timothywillard.substack.com/?utm_source=discover,,,,$10/month,True
Faith,ExoGenesis,https://ex0gene5i5.substack.com/?utm_source=discover,Thobes,4 months ago,,$5/month,True
Faith,Steve Austin: Faith + Mental Health,https://iamsteveaustin.substack.com/?utm_source=discover,,3 months ago,,$10/month,True
Faith,SCRIPTURE,https://scripture.substack.com/?utm_source=discover,Isaac T. Soon,2 months ago,,$5/month,True
Faith,Return to Self,https://www.returntoself.me/?utm_source=discover,Bruna,a year ago,,$7.77/month,True
Faith,MegilLA,https://edmon.substack.com/?utm_source=discover,Edmon J. Rodman,a year ago,,$5/month,True
Faith,Reasons for God,https://reasonsforgod.substack.com/?utm_source=discover,Carson Weitnauer,4 months ago,,$5/month,True
Faith,The Unlearning Blog,https://theunlearningblog.substack.com/?utm_source=discover,Dale Lykins,,,$10/month,True
News,Sinocism,https://sinocism.com/?utm_source=discover,Bill Bishop,4 years ago,Thousands of subscribers,$15/month,True
News,News Items,https://newsitems.substack.com/?utm_source=discover,John Ellis,2 years ago,Thousands of subscribers,$10/month,True
News,The Charlotte Ledger,https://charlotteledger.substack.com/?utm_source=discover,,2 years ago,Thousands of subscribers,$9/month,True
News,TOP SECRET UMBRA,https://topsecretumbra.substack.com/?utm_source=discover,John Schindler,a year ago,Thousands of subscribers,$7.50/month,True
News,The Mill,https://manchestermill.co.uk/?utm_source=discover,,a year ago,Hundreds of subscribers,£7/month,True
News,Numlock News,https://numlock.substack.com/?utm_source=discover,Walter Hickey,3 years ago,Thousands of subscribers,$5/month,True
News,Yashar's Newsletter,https://yashar.substack.com/?utm_source=discover,Yashar Ali,2 years ago,Thousands of subscribers,$5/month,True
News,Inside The Newsroom,https://insidethenewsroom.substack.com/?utm_source=discover,,2 years ago,Thousands of subscribers,$5/month,True
News,Worcester Sucks and I Love It,https://billshaner.substack.com/?utm_source=discover,Bill Shaner,a year ago,Hundreds of subscribers,$5/month,True
News,City Hall Watcher,https://graphicmatt.substack.com/?utm_source=discover,Matt Elliott,3 years ago,Hundreds of subscribers,CA$5.65/month,True
News,IMPORTANTVILLE,https://importantville.substack.com/?utm_source=discover,Adam Wren,3 years ago,Hundreds of subscribers,$15/month,True
News,NewsFix,https://newsfix.substack.com/?utm_source=discover,,9 months ago,Hundreds of subscribers,£5/month,True
News,Marginally Compelling,https://polimath.substack.com/?utm_source=discover,Polimath,a year ago,Hundreds of subscribers,$5/month,True
News,HBCU Digest,https://www.hbcudigest.com/?utm_source=discover,,a year ago,Hundreds of subscribers,$5/month,True
News,Bad News,https://badnews.substack.com/?utm_source=discover,Ryan Grim,3 years ago,Hundreds of subscribers,$5/month,True
News,Murray Bridge News,https://www.murraybridge.news/?utm_source=discover,,a year ago,Hundreds of subscribers,A$5.50/month,True
